ID,Start Date,End Date,Did the respondent agree to take the survey?,"Since finishing your training with Samaschool, have you completed any gig or contract-based work?Gig work means any work where the worker was doing a job that last for a limited time or to the end of a project, and the worker was paid for completing a particular task, gig, or project.",How many gigs or contracts have you completed?,That’s great! Can you let me know the number of gigs or contracts that you have completed?,How did you find your contract-based work?,,,,"Great - which online platforms did you use?If you completed multiple gigs or contracts on different platforms, you can select more than one option below.",,,,,,,,,,,,,How much money have you earned for completing this work?Enter a dollar amount. You do not need to use the $ sign.,How would you describe the amount of money you just mentioned? Is it:,Do you plan to continue doing gig or contract-based work?,Why do you think you won’t continue with gig work? I’ll read out some options and you can let me know which of these apply to you. You can choose more than one option.Choose all that apply to you.,,,,,,,,,,,Do you need any support to continue with your gig work? Select their MOST needed option from the list below. One answer choice will be permitted.,,,,,,Do you plan on doing gig or contract-based work soon?,Great! What kind of support do you need to get started?Select their MOST needed option from the list below. One answer choice will be permitted.,,,,,,Why do you think you won’t start gig work? I’ll read out some options and you can let me know which of these apply to you. You can choose more than one option.,,,,,,,,,,,Are you currently doing any other work?,Which of the following best describes your other work?,Samaschool City:
,,,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Open-Ended Response,Open-Ended Response,Online platform,Staffing or temporary placement (temp) agency,My personal networks or word-of-mouth referrals,Other (please specify),Care.com,Field Nation,Handy,Lyft,Postmates,TaskRabbit,Thumbtack,Upwork,UrbanSitter,Uber,Wonolo,WorkMarket,Other (please specify),Open-Ended Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,I have as much work as I want right now,I would rather look for full-time or non-contract work,I can’t find appropriate gigs,I don’t have time to search for gigs,I don’t have time to complete gigs,I don’t have transportation to go to gigs,I lack confidence in my skills,I am not comfortable going to an unfamiliar place and/ or working for unfamiliar people,I am enrolled in school or training,I plan to do gig work but the timing conflicts with my current employment,Other (please specify),Platform Support - Profile Completion,Platform Support - Job Search,Platform Support - Other,Lack of Confidence,I do not need support,Other,Multiple Choice; Single-Select Response,Platform Support - Profile Completion,Platform Support - Job Search,Platform Support - Other,Lack of Confidence,I do not need support,Other,I have as much work as I want right now,I would rather look for full-time or non-contract work,I can’t find appropriate gigs,I don’t have time to search for gigs,I don’t have time to complete gigs,I don’t have transportation to go to gigs,I lack confidence in my skills,I am not comfortable going to an unfamiliar place and/ or working for unfamiliar people,I am enrolled in school or training,I plan to do gig work but the timing conflicts with my current employment,Other (please specify),Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response
_respondentid.1,_startdate.1,_enddate.1,_optin.1,_indw.gigactivation.1,_indw.numgig.1,_indw.numgig3+.1,_indw.source.online.1,_indw.source.agency.1,_indw.source.network.1,_indw.source.other.1,_indw.online.care.1,_indw.online.field.1,_indw.online.handy.1,_indw.online.lyft.1,_indw.online.post.1,_indw.online.taskrab.1,_indw.online.thumb.1,_indw.online.upwork.1,_indw.online.urbansit.1,_indw.online.uber.1,_indw.online.wonolo.1,_indw.online.workmark.1,_indw.online.other.1,_indw.inc.total.1,_indw.earnings.1,_indw.continue.1,_indw.rsn.havework.1,_indw.rsn.ftwork.1,_indw.rsn.gigdind.1,_indw.rsn.gigsearch.1,_indw.rsn.gigtime.1,_indw.rsn.gigtransport.1,_indw.rsn.confidence.1,_indw.rsn.comfort.1,_indw.rsn.school.1,_indw.rsn.timeconflict.1,_indw.rsn.other.1,_indw.support.profile.1,_indw.support.search.1,_indw.support.other.1,_indw.support.confidence.1,_indw.support.none.1,_indw.support.other.1,_indw.activateYN.1,_indw.activate.profile.1,_indw.activate.search.1,_indw.activate.other.1,_indw.activate.confidence.1,_indw.activate.none.1,_indw.activate.other.1,_indwnone.rsn.havework.1,_indwnone.rsn.ftwork.1,_indwnone.rsn.gigdind.1,_indwnone.rsn.gigsearch.1,_indwnone.rsn.gigtime.1,_indwnone.rsn.gigtransport.1,_indwnone.rsn.confidence.1,_indwnone.rsn.comfort.1,_indwnone.rsn.school.1,_indwnone.rsn.timeconflict.1,_indwnone.rsn.other.1,_indwnone.otherworkYN.1,_indwnone.otherwork.type.1,
100081,2019-02-25 11:49:23,2019-02-25 12:01:28,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100088,2019-02-26 9:49:53,2019-02-26 10:08:05,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,I don’t have time to search for gigs,,,,,I am enrolled in school or training,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100432,2018-11-09 13:32:35,2018-11-09 13:36:52,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,Does not know how visa plays roles in working a gig job,No,,
100150,2019-02-19 13:03:00,2019-02-19 13:09:05,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"More skill in the area she wants to freelance in - interested in writing, editing.",,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100167,2019-02-21 9:31:25,2019-02-21 9:39:01,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100811,2018-10-26 14:41:19,2018-10-26 14:59:39,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,
100952,2018-08-25 13:10:24,2018-08-25 13:23:16,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,80,A best guess of the amount you have earned,Yes,,,,,,,,,,,,Platform Support - Profile Completion,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
100025,2019-03-09 13:02:52,2019-03-09 13:27:01,Yes,Yes,2,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,200,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,,Help getting experience in IT for IT gig work,Yes,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",San Francisco / Bay Area
