_respondentid.6,_startdate.6,_enddate.6,_optin.6,_incgen.primary.6,_incgen.primary.emp.6,_incgen.primary.indw.6,_incgen.primary.bus.6,_incgen.primary.rent.6,_incgen.primary.sell.6,_incgen.primary.other.6,_unempreason.6,_unempreason.other.6,_incgen.secondary.6,_incgen.secondary.indw.6,_incgen.secondary.bus.6,_incgen.secondary.rent.6,_incgen.secondary.sell.6,_incgen.secondary.other.6,_service.secondary.care.6,_service.secondary.clean.6,_service.secondary.deliver.6,_service.secondary.maint.6,_service.secondary.personal.6,_service.secondary.it.6,_service.secondary.drive.6,_service.secondary.prof.6,_service.secondary.create.6,_service.secondary.other.6,_emp.direct.6,_emp.service.clean.6,_emp.service.security.6,_emp.service.it.6,_emp.service.warehouse.6,_emp.service.other.6,_emp.hours.6,_emp.underwork.6,_emp.underwork.reason.6,_emp.underwork.other.6,_emp.paytype.6,_emp.annsalary.6,_emp.hourly.6,_emp.earnings.6,_satisfaction.emp.6,_indw.source.online.6,_indw.source.sm.6,_indw.source.class.6,_indw.source.agency.6,_indw.source.network.6,_indw.source.other.6,_indw.service.care.6,_indw.service.clean.6,_indw.service.deliver.6,_indw.service.maint.6,_indw.service.personal.6,_indw.service.it.6,_indw.service.drive.6,_indw.service.prof.6,_indw.service.create.6,_indw.service.other.6,_indw.month.6,_indw.howoften.6,_indw.numgig.6,_indw.hours.6,_indw.underwork.6,_indw.underwork.reason.6,_indw.underwork.other.6,_indw.hourly.6,_indw.busexpense.6,_indw.inc.total.6,_indw.earnings.6,_indw.reason.income.6,_indw.reason.extra.6,_indw.reason.maintskill.6,_indw.reason.newskill.6,_indw.reason.resume.6,_indw.reason.empwork.6,_indw.reason.network.6,_indw.reason.flex.6,_indw.reason.ownproj.6,_indw.reason.location.6,_indw.reason.boss.6,_indw.reason.hobby.6,_indw.reason.other.6,_indw.type.6,_indw.searchtime.6,_indw.concern.findwork.6,_indw.concern.getwork.6,_indw.concern.income.6,_indw.concern.fairpay.6,_indw.concern.latepay.6,_indw.concern.retire.6,_indw.concern.savemoney.6,_indw.concern.benefit.6,_indw.concern.taxrate.6,_indw.concern.debt.6,_indw.concern.taxlegal.6,_indw.concern.career.6,_indw.concern.discrimin.6,_indw.concern.other.6,_indw.benefit.life.6,_indw.benefit.paidsick.6,_indw.benefit.paidfam.6,_indw.benefit.retire.6,_indw.benefit.disability.6,_indw.benefit.unemployment.6,_indw.benefit.workercomp.6,_indw.benefit.health.6,_indw.traininterest.6,_indw.train.clientacq.6,_indw.train.clientmgmt.6,_indw.train.custservice.6,_indw.train.compskill.6,_indw.train.brand.6,_indw.train.timemgmt.6,_indw.train.financiallit.6,_indw.train.taxlegal.6,_indw.train.benioption.6,_indw.train.busowner.6,_indw.train.techskill.6,_indw.train.other.6,_indw.incdescribe.6,_satisfaction.indw.6,_indw.howlong.6,_bus.hours.6,_bus.inc.beforetax.6,_bus.busexpense.6,_bus.inc.aftertax.6,_bus.earnings.6,_satisfaction.bus.6,_rent.service.house.6,_rent.service.car.6,_rent.service.other.6,_rent.source.online.6,_rent.source.social.6,_rent.source.classified.6,_rent.source.personal.6,_rent.source.other.6,_rent.connect.online.6,_rent.connect.social.6,_rent.connect.classified.6,_rent.connect.personal.6,_rent.connect.other.6,_rent.inc.beforetax.6,_rent.busexpense.6,_rent.inc.aftertax.6,_rent.earnings.6,_sell.good.resale.6,_sell.good.handicraft.6,_sell.good.used.6,_sell.good.other.6,_sell.connect.ecomm.6,_sell.connect.social.6,_sell.connect.classified.6,_sell.connect.personal.6,_sell.connect.other.6,_sell.inc.total.6,_sell.busexpense.6,_sell.inc.aftertax.6,_sell.earnings.6,_unempearner.6,_unempearner.month.6,_unempearner.reason.6,_unempearner.reason.other.6,_harass.6,_harass.type.sexual.6,_harass.type.racial.6,_harass.type.undisclose.6,_harass.type.other.6,_emplpreference.6,_emplpreference.other.6,_opinionofinc.6,_finwellbeing.1.expense.6,_finwellbeing.1.securing.6,_finwellbeing.1.notenough.6,_finwellbeing.1.moneymgmt.6,_finwellbeing.1.gettingby.6,_finwellbeing.1.wontlast.6,_finwellbeing.2.gift.6,_finwellbeing.2.leftover.6,_finwellbeing.2.behind.6,_finwellbeing.2.controlife.6,_demo.age.6,_demo.gender.6,_demo.highestedu.6,_demo.hisplatinspanish.6,_demo.race.americanindian.6,_demo.race.asian.6,,_demo.race.nativehawaiian.6,_demo.race.white.6,_demo.race.other.6,_demo.race.undisclose.6,_geo.6,_geo.other.6
Respondent ID,Start Date,End Date,Did the respondent agree to start the survey?,"In the past 6 months, have you done any work or activities that earned you money? If needed to further prompt: So have you done anything at all in the last 6 months that generated an income for you?","Which of the following best describes how you earned money in the past 6 months? You can choose more than one option, so choose as many as apply to you. Were you:",,,,,,What is the main reason that you were not working in the last 6 months?,,"So just to confirm, in the past 6 months, you didn’t do any work or activities that earned you money? If you did anything that earned you money, even if it was very short-term or temporary, we’d like to know.","Which of the following best describes how you earned your money? You can choose more than one option, so choose as many as apply to you. Were you:5_",,,,,"What kinds of services did you provide? You can choose more than one option, so choose as many as apply to you.",,,,,,,,,,"For your work as an employee, which of the following would best describe you?","What types of services did you provide to other companies? You can choose more than one option, so choose as many as apply to you.",,,,,"For your work as an employee, how many hours did you usually work per week?","Did you want to work a full-time schedule of 35 hours or more per week, but were not able to?",Which of the following best describes the main reason why you were not able to work a full-time schedule?,,"For your work as an employee, were you paid with a salary or on an hourly basis?","For your work as an employee, how much is your annual salary, before taxes and other deductions?","For your work as an employee, how much is your hourly pay rate, before taxes and other deductions?",Is this a best guess of your earnings or based on your calculations and records?,"On a scale of 1-10, where 10 is extremely satisfied and 1 is not at all satisfied, how satisfied are you currently with your work as an employee?","For your gig work, how did you usually find your gigs, contracts, or projects in the past 6 months? You can choose more than one option, so choose as many as apply to you.",,,,,,"What kinds of services did you provide in the past 6 months? You can choose more than one option, so choose as many as apply to you.",,,,,,,,,,"For your gig work, out of the last 6 months, how many months were you doing this type of work?","For your gig work, how often were you typically working on a gig in the past 6 months?This could be for a new or existing contract, as long as the respondent was working on a gig.","How many gigs, contracts, or projects have you completed in total during the past 6 months?","For your gig work, how many hours did you usually work per week in the past 6 months?","Did you want to work a full-time schedule of 35 hours or more per week, but were not able to?",Which of the following best describes the main reason why you were not able to work a full-time schedule?,,"In the past 6 months, how much did you usually earn per hour for your gig work?","In the past 6 months, did you have any business expenses from your gig work?","In the past 6 months, how much did you earn in total from your gig work, after deducting your business expenses from your income?",Is this a best guess of your earnings or based on your calculations and records?,"In the past 6 months, why were you doing gig work? You can choose more than one option, so choose as many as apply to you.",,,,,,,,,,,,,"What type of freelance, gig, or independent contract work did you most frequently do?","On average, how long would it take you to find freelance, gig, or independent contract work, between looking for work and actually starting it?","As a freelance, gig, or independent contract worker, what are your top 3 concerns? Choose up to 3 from this list, or let us know your own concern:",,,,,,,,,,,,,,"If benefits, like the ones that are usually provided to traditional employees, were available to freelance, gig, and independent workers, which ones would be most desirable to you personally and which would be least desirable? Please rank your most desired options.",,,,,,,,"Are you interested in more training on how to be a successful freelance, gig, or independent contract worker?","What topics are you most interested in for more training? You can choose more than one option, so choose as many as apply to you.",,,,,,,,,,,,"In the past 6 months, which of the following best describes the income you earned from gig work?","On a scale of 1-10, where 10 is extremely satisfied and 1 is extremely dissatisfied, how satisfied are you currently with doing gig work?","How much longer do you see yourself doing freelance, gig, or independent contract work?",How many hours did you usually work per week?,"In the past 6 months, how much income did you earn in total from your business, before taxes and other deductions?","In the past 6 months, did you have any expenses from running your business that you can deduct?","In the past 6 months, how much income did you earn from your business in total, after deducting your business expenses?",Is this a best guess of your business income or based on your calculations and records?,"On a scale of 1-10, where 10 is extremely satisfied and 1 is extremely dissatisfied, what is your overall satisfaction level with your work as a business owner?","In the past 6 months, which of the following did you rent to other people for money? You can choose more than one option, so choose as many as apply to you. Did you rent out your:",,,How did you connect to the people that rented your house or apartment?,,,,,How did you connect to the people that rented your car?,,,,,"In the past 6 months, how much money did you earn in total from renting property to others, before taxes and other deductions?","In the past 6 months, did you have any business expenses from renting property that you can deduct?","In the past 6 months, how much did you earn in total from renting property, after deducting your business expenses from your earnings?",Is this a best guess of your rental earnings or based on your calculations and records?,"In the past 6 months, which of the following did you sell to other people for money? You can choose more than one option, so choose as many as apply to you.",,,,"How did you connect to the people that bought your items? You can choose more than one option, so choose as many as apply to you.",,,,,"In the past 6 months, how much money did you earn in total from selling new or used goods?","In the past 6 months, did you have any business expenses from selling goods that you can deduct?","In the past 6 months, how much did you earn in total from selling goods, after deducting your business expenses from your earnings?",Is this a best guess of your earnings or based on your calculations and records?,"In the past 6 months, did you have any periods of unemployment, meaning any time that you wanted to work to earn an income but were not able to?",How many months were you unemployed?,Which of the following best describes why you were unable to work during this time?,,"In the past 6 months, have you ever been subject to harassment while working?","What type of harassment do you believe you were subject to? You can choose more than one option, so choose as many as apply to you.",,,,What type of work and employment do you prefer the most? Would you prefer to be:,,Which one of these options best describes how you currently feel about your personal income?,"In this section, I’m going to read out a few statements and I’d like you to tell me how well the statement describes your current situation. The options are: Completely; Very well; Somewhat; Very little; and Not at all. I’ll reread the options again after each statement.",,,,,,"In this section, I’m going to read out a few statements and I’d like you to tell me how often these situations apply to you. The options are: Always; Often; Sometimes; Rarely; and Never. I’ll re-read the options again after each statement.",,,,What is your current age?,Which gender do you identify with?,What is the highest level of school you have completed or the highest degree that you have received?,"Are you of Hispanic, Latino, or Spanish origin?",Which of the following categories best describes you? You can choose as many options as apply to you.,,,,,,,Where do you currently live?,
,,,Multiple Choice; Single-Select Response,,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",A small business owner that got paid by selling products,Renting out property such as your car or house / apartment,Selling new or used goods or handicrafts,Other,Multiple Choice; Single-Select Response,Other (please specify),Multiple Choice; Single-Select Response,"A gig worker, independent contractor, consultant, or freelancer that got paid by completing gigs, contracts, or projects",A small business owner or sole proprietor that got paid by profits from running your business,Renting out property such as your car or house / apartment,Selling new or used goods or handicrafts,Other (please specify),"Care Services - child care, elderly care, adult care, or pet care, etc.",Cleaning Services,Delivery Services - delivery of goods via platforms like Postmates and DoorDash,"Property Maintenance, Handyman, or Construction Services","Personal Services - fitness, beauty, personal training, etc.","IT Services - setting up printers, networks, programming, data entry, etc.","Driving Services - Uber, Lyft, etc.","Professional Services - consulting, advisory services, training, research, etc.","Creative Work - writing, editing, music composition, voice-overs, design, performance, etc.",Other (please specify),Multiple Choice; Single-Select Response,"Janitorial, cleaning, or maintenance",Security,IT,Warehouse worker,Other (please specify),Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Other (please specify),Multiple Choice; Single-Select Response,Open-Ended Response,Open-Ended Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,"Online work platforms - websites or apps such as Uber, Postmates, UpWork and Field Nation, etc.","Social media platforms - Facebook, LinkedIn, etc.","Online classifieds - Craigslist, Monster.com, etc.",Through a staffing or temporary placement (temp) agency,Through your personal networks / word-of-mouth referrals,Other (please specify),"Care Services - child care, elderly care, adult care, or pet care, etc.",Cleaning Services,Delivery Services - delivery of goods via platforms like Postmates and DoorDash,"Property Maintenance, Handyman, or Construction Services","Personal Services - fitness, beauty, personal training, etc.","IT Services - setting up printers, networks, programming, data entry, etc.","Driving Services - Uber, Lyft, etc.","Professional Services - consulting, advisory services, training, research, etc.","Creative Work - writing, editing, music composition, voice-overs, design, performance, etc.",Other (please specify),Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Open-Ended Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Other (please specify),Open-Ended Response,Multiple Choice; Single-Select Response,Open-Ended Response,Multiple Choice; Single-Select Response,I wanted gig work to be my main source of income,I wanted to earn extra money,I wanted to maintain my existing job skills,I wanted to develop new job skills,I wanted to use this experience to build my resume,I wanted to use this experience to get work as an employee,I wanted to network / meet people,I wanted more flexibility in my schedule,I wanted to choose my own projects,I wanted to choose where I worked,I wanted to be my own boss,Just for fun as a hobby or to make good use of extra time,Other (please specify),Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Difficulty finding work,Getting enough work,Not being able to predict my income,Being paid a fair amount for the work that I do,Receiving late payments or not getting paid at all for the work that I do,Being able to save money for retirement,Being able to save money for all other reasons,Lack of benefits such as health insurance,High tax rates,Debt,Understanding tax and legal obligations,Having opportunities for career growth,Not having protection against discrimination,Other (please specify),Life insurance - Rank,Paid sick leave - Rank,Paid family leave - Rank,Retirement savings - Rank,Disability Insurance - Rank,Unemployment Insurance - Rank,Workers Compensation Insurance (in case of work injury or illness) - Rank,Health Insurance - Rank,Multiple Choice; Single-Select Response,Client Acquisition,Client Management,Customer Service,Computer / Internet Skills,Personal Branding,Time Management,Financial Literacy / Management / Planning,Taxes and Other Legal Obligations,Understanding and Researching Benefits Options,Becoming A Business Owner,Technical Skills,Other (please specify),Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Open-Ended Response,Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,House or apartment,Car,Other (please specify),"Through online or digital rental platforms - Airbnb, Homeaway, etc.","Through social media platforms - Facebook, LinkedIn, etc.","Online classifieds - ad sites like Craigslist, etc.",Through your personal networks / word-of-mouth referrals,Other (please specify),"Through online or digital platforms - Getaround, etc.","Through social media platforms - Facebook, LinkedIn, etc.","Online classifieds - ad sites like Craigslist, etc.",Through your personal networks / word-of-mouth referrals,Other (please specify),Open-Ended Response,Multiple Choice; Single-Select Response,Open-Ended Response,Multiple Choice; Single-Select Response,New items that you bought specifically for resale,New handicrafts/artwork that you made specifically for sale,Used or second-hand goods,Other (please specify),"Through e-commerce sites - Etsy, eBay, etc","Through social media platforms - Facebook, LinkedIn, etc.","Online classifieds - ad sites like Craigslist, etc.",Through your personal networks / word-of-mouth referrals,Other (please specify),Open-Ended Response,Multiple Choice; Single-Select Response,Open-Ended Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Open-Ended Response,Multiple Choice; Single-Select Response,Other (please specify),Multiple Choice; Single-Select Response,Sexual,Racial,I’m not comfortable sharing,Other (please specify),Multiple Choice; Single-Select Response,Other (please specify),Multiple Choice; Single-Select Response,I could handle a major unexpected expense.,I am securing my financial future.,"Because of my money situation, I feel like I will never have the things I want in life.",I can enjoy life because of the way I’m managing my money.,I am just getting by financially.,I am concerned that the money I have or will save won’t last.,"Giving a gift for a wedding, birthday or other occasion would put a strain on my finances for the month",I have money left over at the end of the month,I am behind with my finances,My finances control my life,Open-Ended Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,American Indian or Alaska Native,Asian,_demo.race.black.6,Native Hawaiian or Pacific Islander,White,Other,I prefer not to disclose,Multiple Choice; Single-Select Response,Other (please specify)
101080,2018-12-20 16:39:19,2018-12-20 17:15:38,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through a staffing or temporary placement (temp) agency,,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,3 months,More than four times a month,1,35-50 hours per week,,,,17,No,7000,Best guess,I wanted gig work to be my main source of income,,,,I wanted to use this experience to build my resume,I wanted to use this experience to get work as an employee,,,,,,,Doing contract work while looking for full time position,Ongoing or repeat work with a consistent set of clients,4-6 days,,,1st Concern,3rd Concern,,2nd Concern,,,,,,,,Not being paid enough,,3,2,1,,4,6,5,Yes,,,,Computer / Internet Skills,,,Financial Literacy / Management / Planning,,,,Technical Skills,,It is essential for meeting my basic needs,8,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,Other (please specify),I needed to study to get my network certification,Yes,,,,Gender discrimination,A paid employee of a company or organization,,I am finding it difficult to live on my current income,Not at all,Completely,Not at all,Not at all,Completely,Very little,Always,Never,Always,Rarely,47,Female,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
100873,2019-03-30 7:00:05,2019-03-30 7:31:13,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,Selling new or used goods or handicrafts,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Salary,50000,,Based on calculations and records,9,,,,,Through your personal networks / word-of-mouth referrals,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,"Professional Services - consulting, advisory services, training, research, etc.",,,4 months,Three or four times a month,18,1-14 hours per week,Yes,I needed time to attend school,,15,No,1000,Best guess,,I wanted to earn extra money,,I wanted to develop new job skills,I wanted to use this experience to build my resume,,I wanted to network / meet people,,,,,,,Ongoing or repeat work with a consistent set of clients,Less than 24 hours,3rd Concern,,,,,1st Concern,,2nd Concern,,,,,,Time - also in school full time,7,5,4,2,6,8,3,1,No,,,,,,,,,,,,,It is essential for meeting my basic needs,8,I don’t know,,,,,,,,,,,,,,,,,,,,,,,,New items that you bought specifically for resale,,Used or second-hand goods,,"Through e-commerce sites - Etsy, eBay, etc",,,Through your personal networks / word-of-mouth referrals,,300,No,300,Best guess,Yes,3,I needed time to attend school,,No,,,,,A paid employee of a company or organization,,I am living comfortably on my current income,Somewhat,Completely,Somewhat,Very well,Not at all,Somewhat,Sometimes,Always,Never,Sometimes,29,Male,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
100945,2019-03-26 16:27:50,2019-03-26 16:40:45,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,"Employed and paid by your employer but you worked by providing services for other companies, for example janitorial services, security services, or warehouse worker",,,IT,,,35-50 hours per week,,,,Hourly Basis,,17,Based on calculations and records,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,Sexual,Racial,,Age,"A gig worker, independent contractor, or freelancer providing services",,I am living comfortably on my current income,Not at all,Completely,Not at all,Completely,Not at all,Completely,Never,Often,Never,Sometimes,37,Male,Some college but no degree,Yes,,,Black or African American,,,Other,,New York City,
100714,2019-02-12 15:45:56,2019-02-12 15:55:58,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,Yes,I could only find part-time work,,Hourly Basis,,15,Based on calculations and records,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,"A gig worker, independent contractor, or freelancer providing services",,I am living comfortably on my current income,Not at all,Not at all,Completely,Somewhat,Completely,Completely,Always,Never,Often,Never,22,Female,Associate Degree (2-year degree),No,,,Black or African American,,,,,New York City,
101273,2018-11-19 17:39:25,2018-11-19 17:46:35,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,21,Based on calculations and records,8,,,,Through a staffing or temporary placement (temp) agency,,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,3 months,Three or four times a month,10,Varied a lot by week,,,,17,No,,Best guess,,I wanted to earn extra money,,,,,,,,,,,,One-off projects with various clients,1-2 weeks,3rd Concern,,2nd Concern,,,,,1st Concern,,,,,,Location swapping,3,2,,5,4,,,1,No,,,,,,,,,,,,,It is essential for meeting my basic needs,7,I don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am living comfortably on my current income,Not at all,Very little,Very well,Very little,Somewhat,Somewhat,Often,Sometimes,Often,Sometimes,29,Female,Some college but no degree,No,,,Black or African American,,,,,San Francisco Bay Area,
100947,2019-01-31 16:17:27,2019-01-31 16:40:13,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through a staffing or temporary placement (temp) agency,Through your personal networks / word-of-mouth referrals,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,5 months,More than four times a month,20-25,1-14 hours per week,Yes,I could only find part-time work,,20,Yes,3000,Best guess,I wanted gig work to be my main source of income,,,I wanted to develop new job skills,I wanted to use this experience to build my resume,I wanted to use this experience to get work as an employee,I wanted to network / meet people,I wanted more flexibility in my schedule,,,,,,Ongoing or repeat work with a consistent set of clients,1-2 weeks,,2nd Concern,,1st Concern,,,,3rd Concern,,,,,,,,,,2,,,,1,Yes,Client Acquisition,,,,,,Financial Literacy / Management / Planning,Taxes and Other Legal Obligations,,,,,It is essential for meeting my basic needs,6,Less than 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,I was looking for paid work but couldn’t find any,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Not at all,Very well,Very well,Completely,Completely,Completely,Often,Often,Never,Sometimes,25,Male,Some college but no degree,Yes,,,Black or African American,,,,,New York City,
101446,2018-08-03 8:36:31,2018-12-17 14:01:16,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,13,Best guess,8,,,,Through a staffing or temporary placement (temp) agency,,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,6 months,More than four times a month,,1-14 hours per week,Yes,Other (please specify),I needed time to attend multiple internships,16,Yes,500,Best guess,,I wanted to earn extra money,,,I wanted to use this experience to build my resume,,,I wanted more flexibility in my schedule,,,,,I wanted more control over my work life balance and schedule,Ongoing or repeat work with a consistent set of clients,Less than 24 hours,,,,,,,,3rd Concern,,,1st Concern,,,Difficulty finding more challenging work,2,4,5,6,7,8,1,3,Yes,,,,,,,,Taxes and Other Legal Obligations,,Becoming A Business Owner,Technical Skills,,It is essential for meeting my basic needs,8,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A small business owner selling products,,I am getting by on my current income,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Sometimes,Often,Sometimes,Rarely,33,Male,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
100262,2019-04-23 12:13:03,2019-04-23 13:03:57,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",A small business owner that got paid by selling products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through your personal networks / word-of-mouth referrals,,"Care Services - child care, elderly care, adult care, or pet care, etc.",,,,,,,"Professional Services - consulting, advisory services, training, research, etc.",,Other: Working events occasionally; Professional Services: facilitating child development workshops,6 months,Three or four times a month,18,Varied a lot by week,,,,20,No,2250,Best guess,,,,,,,,,,,,,Was unemployed and needed income,Ongoing or repeat work with a consistent set of clients,I don’t know,1st Concern,2nd Concern,3rd Concern,,,,,,,,,,,,1,2,3,,,,,,No,,,,,,,,,,,,,It is essential for meeting my basic needs,5,Less than 6 months,1-14 hours per week,550,No,550,Best guess,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,I was looking for paid work but couldn’t find any,,No,,,,,Other (please specify),Working in childcare (she doesn't consider this gig work),I am finding it very difficult to live on my current income,Not at all,Not at all,Very little,Not at all,Very well,Completely,Always,Never,Never,Always,46,Female,Associate Degree (2-year degree),No,,,Black or African American,,,,,New York City,
